Team,Points,Driver
Mercedes,387,A
RedBull,395,A
Ferrari,164,A
McLaren,160,A
Alpine,81,A
Alpha Tauri,110,A
Aston Martin,43,A
Williams,16,A
Alpha Romeo,10,A
Haas,0,A
Mercedes,226,B
RedBull,190,B
Ferrari,159,B
McLaren,115,B
Alpine,74,B
Alpha Tauri,32,B
Aston Martin,34,B
Williams,0,B
Alpha Romeo,3,B
Haas,0,B
